Project,hole_id,depth_from,depth_to,ModelStratigraphy
RPD,RPD125,179,184,SD
RPD,RPD125,184,186.6,BOMZ
RPD,RPD125,186.6,190,RSF/DSTRAT
RPD,RPD125,190,215.3,RSC
RPD,RPD125,215.3,221,SD
RPD,RPD125,221,285.8,RSC
RPD,RPD125,285.8,290.2,RSF/DSTRAT
RPD,RPD125,290.2,300.8,RSF/DSTRAT
RPD,RPD125,300.8,311.5,CMN
RPD,RPD125,311.5,377,BRECCIA
RPD,RPD127,0,59.3,LATERITE
RPD,RPD127,59.3,92.7,RAT
RPD,RPD127,92.7,101.7,RAT
RPD,RPD127,101.7,137.7,RAT
RPD,RPD127,137.7,177,BRECCIA
RPD,RPD127,177,203.7,CMN
RPD,RPD129,0,5.3,SOIL
RPD,RPD129,5.3,20.6,LATERITE
RPD,RPD129,20.6,93.9,RAT
RPD,RPD129,93.9,111.9,BRECCIA
RPD,RPD129,111.9,158.6,RAT
RPD,RPD129,158.6,177.6,BRECCIA
RPD,RPD129,177.6,182.4,SD
RPD,RPD129,182.4,221.6,SD
RPD,RPD129,221.6,264.9,SD
RPD,RPD129,264.9,277.1,CMN
RPD,RPD130,0,3,SOIL
RPD,RPD130,3,80.6,LATERITE
RPD,RPD130,80.6,111.6,RAT
RPD,RPD130,111.6,155.6,SD
RPD,RPD130,155.6,187.9,CMN
RPD,RPD130,187.9,209.6,BOMZ
RPD,RPD130,209.6,223.1,CMN WAD
RPD,RPD130,223.1,226.5,SD
RPD,RPD130,226.5,266.7,CMN
RPD,RPD130,266.7,300.6,SD
RPD,RPD146,0,59.4,CMN
RPD,RPD146,59.4,80.9,BRECCIA
RPD,RPD146,80.9,124.5,CMN
RPD,RPD146,124.5,162.5,SD
RPD,RPD146,162.5,168.5,SD
RPD,RPD146,168.5,179.5,RSC
RPD,RPD146,179.5,185.2,RSF/DSTRAT
RPD,RPD146,185.2,187.1,RSF/DSTRAT
RPD,RPD146,187.1,213.4,MV
RPD,RPD146,213.4,215.5,RAT
RPD,RPD19,0,14,SD
RPD,RPD19,14,23.5,SD
RPD,RPD19,23.5,25.6,RSC
RPD,RPD19,25.6,30,RSF/DSTRAT
RPD,RPD19,30,60,RSF/DSTRAT
RPD,RPD20,0,10.3,SD
RPD,RPD20,10.3,30.1,SD
RPD,RPD20,30.1,47,RSC
RPD,RPD20,47,53.9,RSF/DSTRAT
RPD,RPD20,53.9,57,RSF/DSTRAT
RPD,RPD20,57,57.1,MV
RPD,RPD20,57.1,60,RAT
RPD,RPD22,0,4,RSF/DSTRAT
RPD,RPD22,4,7,RSF/DSTRAT
RPD,RPD22,7,8.5,RSC
RPD,RPD22,8.5,16.5,MV
RPD,RPD22,16.5,32.1,RAT
RPD,RPD29,0,0.3,RSC
RPD,RPD29,0.3,5.8,RSF/DSTRAT
RPD,RPD29,5.8,8,RSF/DSTRAT
RPD,RPD29,8,16.7,MV
RPD,RPD29,16.7,20,RAT
RPD,RPD32,0,34,SD
RPD,RPD32,34,82,SD
RPD,RPD32,82,92.8,RSC
RPD,RPD32,92.8,97,RSF/DSTRAT
RPD,RPD32,97,102.7,RSF/DSTRAT
RPD,RPD32,102.7,113,MV
RPD,RPD32,113,120.4,RAT
RPD,RPD34,0,69.2,SD
RPD,RPD34,69.2,76.6,SD
RPD,RPD34,76.6,87.6,RSC
RPD,RPD34,87.6,94,RSF/DSTRAT
RPD,RPD34,94,96.8,RSF/DSTRAT
RPD,RPD34,96.8,103.2,MV
RPD,RPD34,103.2,105,RAT
RPD,RPD35,0,9.7,SD
RPD,RPD35,9.7,47.6,SD
RPD,RPD35,47.6,71.5,RSC
RPD,RPD35,71.5,76.5,RSF/DSTRAT
RPD,RPD35,76.5,82.2,RSF/DSTRAT
RPD,RPD35,82.2,95,MV
RPD,RPD35,95,96,MV
RPD,RPD36,0,18.3,SD
RPD,RPD36,18.3,40,SD
RPD,RPD38,0,5.2,CMN WAD
RPD,RPD38,5.2,70,SD
RPD,RPD40,0,23.9,BOMZ
RPD,RPD40,23.9,60,CMN
RPD,RPD41,0,16.6,RSC
RPD,RPD41,16.6,22.1,RSF/DSTRAT
RPD,RPD41,22.1,31.1,RSF/DSTRAT
RPD,RPD41,31.1,42.9,MV
RPD,RPD41,42.9,43,RAT
RPD,RPD43,0,32.1,SD
RPD,RPD43,32.1,40,SD
RPD,RPD44,0,53,SD
RPD,RPD45,0,5,LATERITE
RPD,RPD45,5,71,SD
RPD,RPD45,71,75,RSC
RPD,RPD46,0,2.5,RSF/DSTRAT
RPD,RPD46,2.5,8.4,RSC
RPD,RPD46,8.4,17.4,SD
RPD,RPD46,17.4,50.4,SD
RPD,RPD46,50.4,56.4,BOMZ
RPD,RPD46,56.4,70,CMN
RPD,RPD47,0,19,SD
RPD,RPD47,19,38.6,SD
RPD,RPD47,38.6,50,BOMZ
RPD,RPD47,50,70,CMN
RPD,RPD48,0,9,RAT
RPD,RPD48,9,17.5,MV
RPD,RPD48,17.5,19,RSF/DSTRAT
RPD,RPD48,19,20.8,RSF/DSTRAT
RPD,RPD48,20.8,30.6,RSC
RPD,RPD48,30.6,41.5,SD
RPD,RPD48,41.5,58.5,SD
RPD,RPD48,58.5,63.5,BOMZ
RPD,RPD48,63.5,66.5,SD
RPD,RPD48,66.5,85,CMN
RPD,RPD49,0,32.5,SD
RPD,RPD49,32.5,47,CMN
RPD,RPD50,0,33.5,SD
RPD,RPD50,33.5,44.4,BOMZ
RPD,RPD50,44.4,81.5,CMN
RPD,RPD51,0,6,RAT
RPD,RPD51,6,14,BRECCIA
RPD,RPD51,14,19.9,MV
RPD,RPD51,19.9,21.5,RSF/DSTRAT
RPD,RPD51,21.5,25.4,RSF/DSTRAT
RPD,RPD51,25.4,27.6,RSC
RPD,RPD51,27.6,39,SD
RPD,RPD51,39,47.5,SD
RPD,RPD51,47.5,51.2,BOMZ
RPD,RPD51,51.2,87.5,CMN
RPD,RPD52,0,13,SD
RPD,RPD52,13,33.5,BOMZ
RPD,RPD52,33.5,50.5,CMN
RPD,RPD53,0,28,SD
RPD,RPD53,28,32.5,BOMZ
RPD,RPD53,32.5,41.6,SD
RPD,RPD53,41.6,60,CMN
RPD,RPD55,0,9,RAT
RPD,RPD55,9,12.5,MV
RPD,RPD55,12.5,16,RSF/DSTRAT
RPD,RPD55,16,21,RSF/DSTRAT
RPD,RPD55,21,32.5,RSC
RPD,RPD55,32.5,42,SD
RPD,RPD55,42,58.8,SD
RPD,RPD55,58.8,70,CMN
RPD,RPD56,0,2,RSC
RPD,RPD56,2,16.5,SD
RPD,RPD56,16.5,43,SD
RPD,RPD56,43,50.5,BOMZ
RPD,RPD58,0,3.5,RAT
RPD,RPD58,3.5,10.6,MV
RPD,RPD58,10.6,11.5,RSF/DSTRAT
RPD,RPD58,11.5,15.6,RSF/DSTRAT
RPD,RPD58,15.6,22.6,RSC
RPD,RPD58,22.6,26.7,SD
RPD,RPD58,26.7,29.1,RSC
RPD,RPD58,29.1,35.5,SD
RPD,RPD58,35.5,59.5,SD
RPD,RPD58,59.5,70.5,CMN
RPD,RPD60,0,100,CMN
RPD,RPD66,0,4,SOIL
RPD,RPD66,4,49.5,LATERITE
RPD,RPD66,49.5,61.4,RAT
RPD,RPD66,61.4,67,BRECCIA
RPD,RPD66,67,74,LMZ
RPD,RPD66,74,76,RSF/DSTRAT
RPD,RPD66,76,84,RSF/DSTRAT
RPD,RPD66,84,101,RSC
RPD,RPD66,101,110,SD
RPD,RPD66,110,139.3,SD
RPD,RPD66,139.3,174.7,
RPD,RPD66,174.7,248,SD
RPD,RPD66,248,279.7,
RPD,RPD67,0,4,SOIL
RPD,RPD67,4,55.7,LATERITE
RPD,RPD67,55.7,74,RAT
RPD,RPD67,74,78,LMZ
RPD,RPD67,78,83.5,RSF/DSTRAT
RPD,RPD67,83.5,85,RSF/DSTRAT
RPD,RPD67,85,101.5,RSC
RPD,RPD67,101.5,115,SD
RPD,RPD67,115,296.5,SD
RPD,RPD67,296.5,305,CMN
RPD,RPD75,0,37.8,LATERITE
RPD,RPD75,37.8,45,LMZ
RPD,RPD75,45,47.8,RSF/DSTRAT
RPD,RPD75,47.8,49.7,RSF/DSTRAT
RPD,RPD75,49.7,63,RSC
RPD,RPD75,63,74.5,SD
RPD,RPD75,74.5,153,SD
RPD,RPD75,153,162,
RPD,RPD75,162,195,BOMZ
RPD,RPD75,195,208,SD
RPD,RPD75,208,270,
RPD,RPD82,0,35,LATERITE
RPD,RPD82,35,73,RAT
RPD,RPD82,73,89,MV
RPD,RPD82,89,91.1,RSF/DSTRAT
RPD,RPD82,91.1,95.9,RSF/DSTRAT
RPD,RPD82,95.9,107.8,RSC
RPD,RPD82,107.8,117,SD
RPD,RPD82,117,183,SD
RPD,RPD82,183,201,
RPD,RPD82,201,228,SD
RPD,RPD82,228,267,
RPD,RPD86,37,79,RAT
RPD,RPD86,79,83.8,BRECCIA
RPD,RPD86,83.8,88.7,RAT
RPD,RPD86,88.7,96,BRECCIA
RPD,RPD86,96,101.7,MV
RPD,RPD86,101.7,102.2,RSF/DSTRAT
RPD,RPD86,102.2,108.1,RSF/DSTRAT
RPD,RPD86,108.1,120.5,RSC
RPD,RPD86,120.5,147.6,SD
RPD,RPD86,147.6,167,RSC
RPD,RPD86,167,172,RSF/DSTRAT
RPD,RPD86,172,174.2,RSF/DSTRAT
RPD,RPD86,174.2,184.8,MV
