Project,hole_id,depth,azimuth,dip
RPD,RPD86,60,0,-90
RPD,RPD86,120,0,-90
RPD,RPD86,202,0,-90
RPD,RPD86,180,0,-90
RPD,RPD87,0,0,-90
RSP,RSP01,0,0,-90
RSP,RSP09,155,0,-90
RSP,RSP09,120,0,-90
RSP,RSP09,90,0,-90
RSP,RSP09,60,0,-90
RSP,RSP09,30,0,-90
RSP,RSP10,30,0,-90
RSP,RSP10,60,0,-90
RSP,RSP10,86,0,-90
RSP,RSP11,30,0,-90
RSP,RSP11,60,0,-90
RSP,RSP11,90,0,-90
RSP,RSP11,120,0,-90
RSP,RSP15,30,0,-90
RSP,RSP15,90,0,-90
RSP,RSP15,60,0,-90
RSP,RSP16,30,0,-90
RSP,RSP16,90,0,-90
RSP,RSP16,150,0,-90
RSP,RSP16,60,0,-90
RSP,RSP16,120,0,-90
RSP,RSP16,171,0,-90
RSP,RSP17,30,0,-90
RSP,RSP17,60,0,-90
RSP,RSP17,90,0,-90
RSP,RSP17,120,0,-90
RSP,RSP17,150,0,-90
RSP,RSP17,155,0,-90
RSP,RSP18,30,0,-90
RSP,RSP18,90,0,-90
RSP,RSP18,60,0,-90
RSP,RSP18,120,0,-90
RSP,RSP18,150,0,-90
RSP,RSP18,180,0,-90
RSP,RSP18,210,0,-90
RSP,RSP18,233,0,-90
RSP,RSP19,0,0,-90
RSP,RSP20,180,0,-90
RSP,RSP20,150,0,-90
RSP,RSP21,60,0,-90
RSP,RSP21,120,0,-90
RSP,RSP21,90,0,-90
RSP,RSP21,30,0,-90
RSP,RSP22,0,0,-90
RSP,RSP24,0,0,-90
RSP,RSP26,100,0,-90
RSP,RSP26,90,0,-90
RSP,RSP26,30,0,-90
RSP,RSP26,60,0,-90
RSS,RSS02,0,0,-90
RSS,RSS04,0,0,-90
RSS,RSS05,0,0,-90
RSS,RSS06,0,0,-90
RSS,RSS07,0,0,-90
RSS,RSS08,0,0,-90
RSS,RSS10,100,0,-90
RSS,RSS10,0,0,-90
RSS,RSS11,0,0,-90
RSS,RSS11,50,0,-90
RSS,RSS11,100,0,-90
RSS,RSS12,0,0,-90
RSS,RSS12,100,0,-90
RSS,RSS12,150,0,-90
RSS,RSS13,0,0,-90
RSS,RSS13,150,0,-90
RSS,RSS14,0,0,-90
RSS,RSS14,100,0,-90
RSS,RSS14,150,0,-90
RSS,RSS15,0,0,-90
RSS,RSS15,150,0,-90
RSS,RSS15,100,0,-90
RSS,RSS17,0,0,-90
RSS,RSS18,150,0,-90
RSS,RSS18,100,0,-90
RSS,RSS18,0,0,-90
RSS,RSS18,50,0,-90
RSS,RSS20,100,0,-90
RSS,RSS20,50,0,-90
RSS,RSS20,0,0,-90
RSS,RSS21,100,0,-90
RSS,RSS21,0,0,-90
RSS,RSS22,0,0,-90
RSS,RSS22,150,0,-90
RSS,RSS22,100,0,-90
RSS,RSS23,0,0,-90
RSS,RSS24,100,0,-90
RSS,RSS24,0,0,-90
RSS,RSS24,150,0,-90
RSS,RSS24,200,0,-90
RSS,RSS25,100,0,-90
RSS,RSS25,150,0,-90
RSS,RSS25,0,0,-90
RSS,RSS26,0,0,-90
RSS,RSS26,150,0,-90
RSS,RSS27,0,0,-90
RSS,RSS27,50,0,-90
RSS,RSS28,0,0,-90
RSS,RSS29,0,0,-90
RSS,RSS30,50,0,-90
RSS,RSS30,0,0,-90
RSS,RSS31,0,0,-90
RSS,RSS31,100,0,-90
RSS,RSS31,50,0,-90
RSS,RSS32,0,0,-90
RSS,RSS33,0,0,-90
RSS,RSS33,50,0,-90
RSS,RSS33,100,0,-90
RSS,RSS34,0,0,-90
RSS,RSS37,100,0,-90
RSS,RSS37,0,0,-90
RSS,RSS39,50,27,-90
RSS,RSS39,0,0,-90
RSS,RSS40,0,0,-90
RSS,RSS40,100,0,-90
RSS,RSS41,0,0,-90
RSS,RSS43,0,0,-90
RSS,RSS47,0,0,-90
RSS,RSS48,0,0,-90
RSS,RSS49,0,0,-90
RSS,RSS50,0,0,-90
RSS,RSS53,0,0,-90
RSS,RSS54,0,0,-90
RSS,RSS55,0,0,-90
RSS,RSS59,0,0,-90
RSS,RSS59,100,0,-90
RSS,RSS60,100,0,-90
RSS,RSS60,50,0,-90
RSS,RSS60,0,0,-90
RSS,RSS61,0,0,-90
RSS,RSS61,50,0,-90
RSS,RSS61,100,0,-90
